NO	X	Y	Year
1	-71.355	-44.198	1950.169355
2	-72.736	-42.405	1950.293011
3	-67.602	-39.025	1933.002688
4	-68.234	-38.954	1950.169355
5	-62.267	-38.782	1905.301075
6	-62.605	-38.773	1933.002688
7	-62.274	-38.725	1927.870968
8	-62.916	-38.109	1905.301075
9	-59.808	-37.678	1941.336022
10	-65.648	-37.326	1932.752688
11	-73.02181	-36.92303	1985.002688
12	-73.13839	-36.856	1931.836022
13	-73.055	-36.826	1950.293011
14	-65.43	-36.24	1933.002688
15	-65.438	-36.22	1935.419355
16	-64.599	-36.011	1940.836022
17	-72.321	-35.962	1950.293011
18	-71.66	-35.423	1950.293011
19	-60.51	-35.121	1933.002688
20	-57.52	-35.083	1928.709677
21	-58.42	-35.039	1937.752688
22	-63.018	-35.037	1934.075269
23	-59.383	-34.9	1905.301075
24	-56.15524	-34.86903	1929.021505
25	-58.41	-34.665	1905.301075
26	-58.383558	-34.60097	1899.9
27	-62.042	-34.334	1958.841398
28	-59.22	-34.255	1933.002688
29	19.422	-34.226	1928.696237
30	-60.738	-34.201	1932.830645
31	22.13333333	-34.18333333	1901
32	20.95	-34.09	1929.018817
33	18.75298	-34.05351	1928.002688
34	18.482	-33.979	1926.357527
35	25.58333333	-33.96666667	1938
36	25.57	-33.933	1938.448925
37	25.57858	-33.9242	1938.354839
38	18.41666667	-33.91666667	1900
39	25.4	-33.88333333	1952
40	151.2364	-33.84347	1899
41	25.67265	-33.79584	1982.196237
42	25.49927	-33.77458	1938.467742
43	25.41	-33.77	1928.884409
44	25.4	-33.76666667	1923
45	25.66666667	-33.76666667	1982
46	25.394	-33.764	1929.836022
47	25.3997	-33.75774	1957.827957
48	25.40073	-33.75689	1936.817204
49	-70.66406	-33.72434	1941.77957
50	-59.024	-33.686	1939.002688
51	-70.98764	-33.67685	1933.669355
52	-70.647518	-33.475027	1941.110215
53	-70.64359	-33.43968	1928.336022
54	-70.6508	-33.43871	1929.336022
55	-63.305	-33.423	1928.424731
56	-67.174	-33.418	1933.002688
57	25.45	-33.41666667	1960
58	-59.079	-33.416	1905.301075
59	25.428	-33.402	1960.193548
60	-66.348	-33.316	1905.301075
61	23.49495	-33.28433	1936.760753
62	-62.603	-33.219	1905.301075
63	26.17339	-33.20095	1936.013441
64	-63.514	-33.036	1928.860215
65	27.91666667	-33.03333333	1903
66	-64.181	-33.013	1950.169355
67	27.90175	-32.99888	1962.048387
68	-60.664	-32.938	1927.903226
69	-68.83	-32.897	1905.301075
70	27.4	-32.88333333	1907
71	21.94819	-32.85327	1931.188172
72	-68.587	-32.729	1940.669355
73	27.55	-32.7	1903
74	-64.983	-32.626	1930.096774
75	-61.041	-32.503	1940.043011
76	-65.195	-32.344	1933.002688
77	-64.281	-32.336	1933.002688
78	24.54	-32.301	1926.27957
79	-65.792	-32.237	1932.94086
80	-65.05	-32.228	1940.836022
81	-58.141	-32.224	1939.793011
82	25.61666667	-32.18333333	1925
83	-63.894	-32.173	1940.919355
84	18.305	-32.094	1934.086022
85	-60.641	-32.073	1931.158602
86	-52.099	-32.041	1965.002688
87	27.38192	-32.01404	1938.043011
88	-68.54	-31.972	1928.857527
89	-65.187	-31.947	1905.301075
90	26.884	-31.901	1935.860215
91	-63.81	-31.79	1933.002688
92	27.01666667	-31.75	1917
93	27.22999	-31.69015	1939.561828
94	-63.876	-31.682	1905.301075
95	26.84784	-31.66467	1929.139785
96	-63.91	-31.654	1940.169355
97	-64.263	-31.649	1933.002688
98	-60.698	-31.617	1905.301075
99	-68.527	-31.534	1905.301075
100	27.348	-31.479	1928.927419
101	19.769	-31.47	1929.930108
102	19.78333333	-31.46666667	1925
103	19.8056	-31.46381	1936.08871
104	26.36666667	-31.4	1922
105	-58.023	-31.398	1927.602151
106	-66.982	-31.391	1905.301075
107	20.91666667	-31.35	1925
108	20.91	-31.342	1935.876344
109	20.92621	-31.33956	1954.387097
110	-63.618	-31.333	1941.336022
111	-54.101	-31.325	1926.045699
112	-64.18	-31.316	1905.301075
113	26.65749	-31.26329	1938.354839
114	-60.986	-31.142	1928.120968
115	-71.637	-30.99	1950.293011
116	-64.811	-30.724	1941.169355
117	26.72356	-30.69314	1938.392473
118	24.01666667	-30.65	1924
119	-65.384	-30.633	1933.002688
120	27.16644	-30.61583	1935.459677
121	23.503	-30.595	1940.650538
122	-64.206	-30.591	1928.424731
123	-59.925	-30.579	1940.169355
124	22.94	-30.56	1928.040323
125	-61.96	-30.55	1928.422043
126	25.99893	-30.49079	1930.247312
127	20.48333333	-30.45	1953
128	26.83685	-30.41078	1935.091398
129	-66.315	-30.359	1934.502688
130	27.093	-30.304	1929.836022
131	27.09126	-30.29702	1934.169355
